Date,Open,High,Low,Close,Volume,Market Cap
2019-05-18,7341.66,7447.27,7251.5,7271.21,21354286562,1.28762E+11
2019-05-19,7267.96,8261.94,7267.96,8197.69,25902422040,1.45185E+11
2019-05-20,8196.92,8200.97,7678.78,7978.31,23843404340,1.41316E+11
2019-05-21,7977.97,8062.17,7843.34,7963.33,25127245056,1.41066E+11
2019-05-22,7956.29,7997.61,7615.99,7680.07,24719473175,1.36064E+11
2019-05-23,7677.27,7943.79,7533.2,7881.85,24457107820,1.39654E+11
2019-05-24,7881.7,8140.72,7824.45,7987.37,25919126991,1.41539E+11
2019-05-25,7991.89,8117.93,7965.98,8052.54,22256813107,1.42708E+11
2019-05-26,8055.21,8687.52,7924.67,8673.22,26677970092,1.53725E+11
2019-05-27,8674.07,8907.17,8668.7,8805.78,27949839564,1.56094E+11
2019-05-28,8802.76,8807.02,8634.72,8719.96,24226919267,1.5459E+11
2019-05-29,8718.59,8755.85,8482.73,8659.49,23473479966,1.53537E+11
2019-05-30,8661.76,9008.31,8221.27,8319.47,29246528551,1.47525E+11
2019-05-31,8320.29,8586.66,8172.55,8574.5,25365190957,1.5206E+11
2019-06-01,8573.84,8625.6,8481.58,8564.02,22488303544,1.5189E+11
2019-06-02,8565.47,8809.3,8561.24,8742.96,20266216022,1.55077E+11
2019-06-03,8741.75,8743.5,8204.19,8208.99,22004511436,1.45619E+11
2019-06-04,8210.99,8210.99,7564.49,7707.77,24609731549,1.36743E+11
2019-06-05,7704.34,7901.85,7668.67,7824.23,21760923463,1.38825E+11
2019-06-06,7819.63,7937.34,7571.47,7822.02,19474611077,1.38801E+11
2019-06-07,7826.9,8126.15,7788.37,8043.95,19141423231,1.42755E+11
2019-06-08,8036.77,8076.89,7837.61,7954.13,16522722810,1.41173E+11
2019-06-09,7949.67,7975.97,7583.22,7688.08,16610726547,1.36465E+11
2019-06-10,7692.28,8031.91,7586.73,8000.33,18689275117,1.42023E+11
2019-06-11,8004.24,8026.39,7772.8,7927.71,17107279932,1.40749E+11
2019-06-12,7925.43,8196.65,7862.36,8145.86,19034432883,1.44635E+11
2019-06-13,8145.55,8311.57,8087.06,8230.92,18669407147,1.4616E+11
2019-06-14,8230.9,8710.64,8183.39,8693.83,19831162906,1.54399E+11
