Date,Open,High,Low,Close,Volume,Market Cap,MSTR Stock,PYPL_Stock,BDT_Stock
2019-05-18,7341.66,7447.27,7251.5,7271.21,21354286562,1.29E+11,136.27,112.15,6700
2019-05-19,7267.96,8261.94,7267.96,8197.69,25902422040,1.45E+11,136.27,112.15,6700
2019-05-20,8196.92,8200.97,7678.78,7978.31,23843404340,1.41E+11,136.27,112.15,6700
2019-05-21,7977.97,8062.17,7843.34,7963.33,25127245056,1.41E+11,137.31,112.43,6660
2019-05-22,7956.29,7997.61,7615.99,7680.07,24719473175,1.36E+11,136.27,112.47,6690
2019-05-23,7677.27,7943.79,7533.2,7881.85,24457107820,1.40E+11,133.92,109.9,6220
2019-05-24,7881.7,8140.72,7824.45,7987.37,25919126991,1.42E+11,134.08,109.85,6260
2019-05-25,7991.89,8117.93,7965.98,8052.54,22256813107,1.43E+11,134.08,111.74,6260
2019-05-26,8055.21,8687.52,7924.67,8673.22,26677970092,1.54E+11,134.08,111.74,6260
2019-05-27,8674.07,8907.17,8668.7,8805.78,27949839564,1.56E+11,134.08,111.74,6590
2019-05-28,8802.76,8807.02,8634.72,8719.96,24226919267,1.55E+11,135.33,111.74,6550
2019-05-29,8718.59,8755.85,8482.73,8659.49,23473479966,1.54E+11,133.75,110.08,6290
2019-05-30,8661.76,9008.31,8221.27,8319.47,29246528551,1.48E+11,133.66,111.41,6410
2019-05-31,8320.29,8586.66,8172.55,8574.5,25365190957,1.52E+11,132.91,109.75,6280
2019-06-01,8573.84,8625.6,8481.58,8564.02,22488303544,1.52E+11,132.91,105.52,6280
2019-06-02,8565.47,8809.3,8561.24,8742.96,20266216022,1.55E+11,132.91,105.52,6280
2019-06-03,8741.75,8743.5,8204.19,8208.99,22004511436,1.46E+11,130.9,105.52,6120
2019-06-04,8210.99,8210.99,7564.49,7707.77,24609731549,1.37E+11,133.82,108.73,5980
2019-06-05,7704.34,7901.85,7668.67,7824.23,21760923463,1.39E+11,134.38,110.77,6000
2019-06-06,7819.63,7937.34,7571.47,7822.02,19474611077,1.39E+11,134.41,111.78,6000
2019-06-07,7826.9,8126.15,7788.37,8043.95,19141423231,1.43E+11,137.14,114.02,6020
2019-06-08,8036.77,8076.89,7837.61,7954.13,16522722810,1.41E+11,137.14,115.62,6020
2019-06-09,7949.67,7975.97,7583.22,7688.08,16610726547,1.36E+11,137.14,115.62,6020
2019-06-10,7692.28,8031.91,7586.73,8000.33,18689275117,1.42E+11,136.55,115.62,6030
2019-06-11,8004.24,8026.39,7772.8,7927.71,17107279932,1.41E+11,134.14,114.6,6150
2019-06-12,7925.43,8196.65,7862.36,8145.86,19034432883,1.45E+11,132.68,114.5,6100
2019-06-13,8145.55,8311.57,8087.06,8230.92,18669407147,1.46E+11,132.05,115.72,6090
2019-06-14,8230.9,8710.64,8183.39,8693.83,19831162906,1.54E+11,133.65,116.17,6230
2019-06-15,8689.75,8859.13,8618.4,8838.38,18371033226,1.57E+11,133.65,117.16,6230
2019-06-16,8841.44,9335.87,8814.56,8994.49,23348550311,1.60E+11,133.65,117.16,6230
2019-06-17,8988.92,9416.41,8988.92,9320.35,15562951919,1.66E+11,141.25,117.16,6400
2019-06-18,9335.47,9348.37,9004.9,9081.76,15848210536,1.61E+11,145.59,115.98,6230
2019-06-19,9078.73,9299.62,9070.4,9273.52,15546809946,1.65E+11,147.67,117.14,6250
2019-06-20,9273.06,9594.42,9232.48,9527.16,17846823784,1.69E+11,147.89,118.79,6400
2019-06-21,9525.07,10144.56,9525.07,10144.56,20624008643,1.80E+11,146.72,116.21,6540
